0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:30 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:35 +0500] "GET /Melosphere/ListenerDeletePlaylist.jsp?PName=check HTTP/1.1" 200 7058
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:40 +0500] "GET /Melosphere/ListenerShowPlaylistSongsDummy.jsp?PName=Duplicity&PDes=WORK+PLEASE+IM+BEGGING HTTP/1.1" 200 10651
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:48 +0500] "GET /Melosphere/ListenerDeletePlaylist.jsp?PName=Duplicity HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:52 +0500] "GET /Melosphere/ListenerDeletePlaylist.jsp?PName=check HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:59 +0500] "GET /Melosphere/ListenerProfileDummay.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [16/May/2023:10:12:00 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:12:38 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:14:43 +0500] "GET /Melosphere/ListenerEditProfile.jsp HTTP/1.1" 200 7894
0:0:0:0:0:0:0:1 - - [16/May/2023:10:16:36 +0500] "POST /Melosphere/ListenerEditProfileServlet HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:00 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:09 +0500] "GET /Melosphere/ListenerGetFollowingArtistDummy.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:12 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:14 +0500] "GET /Melosphere/ArtistLogIn.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:14 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:24 +0500] "GET /Melosphere/ArtistLogInServlet?AName=The+Weeknd&AEmail=abel%40gmail.com&APassword=123 HTTP/1.1" 200 11716
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:49 +0500] "GET /Melosphere/ArtistPlaySongFileServlet?SongName=StarBoy HTTP/1.1" 200 2279325
0:0:0:0:0:0:0:1 - - [16/May/2023:10:17:52 +0500] "GET /Melosphere/ArtistLogInServlet?AName=The+Weeknd&AEmail=abel%40gmail.com&APassword=123 HTTP/1.1" 200 11716
0:0:0:0:0:0:0:1 - - [16/May/2023:10:18:17 +0500] "GET /Melosphere/ArtistDisplayAllSongsDummy.jsp HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [16/May/2023:10:18:23 +0500] "GET /Melosphere/ArtistDeleteSong.jsp?SName=Blinding+Lights HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [16/May/2023:10:18:27 +0500] "GET /Melosphere/ArtistDisplayAllSongsDummy.jsp HTTP/1.1" 200 12223
0:0:0:0:0:0:0:1 - - [16/May/2023:10:18:30 +0500] "GET /Melosphere/ArtistUploadSongFile.jsp HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [16/May/2023:10:18:30 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:05 +0500] "POST /Melosphere/UploadSongFileServlet HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:07 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:08 +0500] "GET /Melosphere/ArtistDisplayAllSongsDummy.jsp HTTP/1.1" 200 13763
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:15 +0500] "GET /Melosphere/ArtistProfileDummy.jsp HTTP/1.1" 200 4579
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:15 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:31 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:10:19:31 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:21:24 +0500] "GET /Melosphere/ListenerSignUp.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [16/May/2023:10:21:24 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:22:28 +0500] "POST /Melosphere/ListenerSignUpServlet HTTP/1.1" 200 20520
0:0:0:0:0:0:0:1 - - [16/May/2023:10:22:45 +0500] "GET /Melosphere/ListenerProfileDummay.jsp HTTP/1.1" 200 5695
0:0:0:0:0:0:0:1 - - [16/May/2023:10:22:45 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:22:46 +0500] "GET /Melosphere/ListenerDeleteProfileDummy.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:10:22:46 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:35:27 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:10:35:28 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:35:41 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=newpass HTTP/1.1" 200 20558
0:0:0:0:0:0:0:1 - - [16/May/2023:10:38:55 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Often HTTP/1.1" 200 1408337
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:15 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:16 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:17 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:26 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=123 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:29 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:34 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=newpass HTTP/1.1" 200 20514
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:37 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=StarBoy HTTP/1.1" 200 2279325
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:49 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Dreams HTTP/1.1" 200 2032028
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:51 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=newpass HTTP/1.1" 200 20476
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:55 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=WHY HTTP/1.1" 200 1537093
0:0:0:0:0:0:0:1 - - [16/May/2023:12:25:59 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Die%20For%20You HTTP/1.1" 200 1562816
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:21 +0500] "POST /Melosphere/ListenerAddToFav.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:24 +0500] "GET /Melosphere/ListenerFavDummy.jsp HTTP/1.1" 200 15615
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:28 +0500] "GET /Melosphere/ListenerRemoveFromFav.jsp?AName=The+Weeknd&SName=Die+For+You HTTP/1.1" 200 13764
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:30 +0500] "GET /Melosphere/ListenerGetPlaylistDummy.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:32 +0500] "GET /Melosphere/ListenerCreatePlaylist.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:36 +0500] "POST /Melosphere/ListenerCreatePlaylistServlet HTTP/1.1" 500 32
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:39 +0500] "GET /Melosphere/ListenerCreatePlaylist.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:43 +0500] "GET /Melosphere/ListenerGetPlaylistDummy.jsp HTTP/1.1" 200 7076
0:0:0:0:0:0:0:1 - - [16/May/2023:12:26:53 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
